CargoCategory,TempDeviation,DurationMins,ActualTemp,ThermalShock_Rate,ResultLabel
FROZEN_PHARMA_MATERIALS,6.55,2405.6,-8.45,0.00272,Giam_Hoat_Tinh_Nhe
FROZEN_FRUITS,16.7,1340.8,-1.3,0.01246,Nhun_nat_Chay_dich
FROZEN_PHARMA_MATERIALS,19.6,1416.3,4.6,0.01384,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,2.41,345.0,-15.59,0.00699,An_toan_trong_ngan_han
ICE_CREAM_JUICE,0.75,96.9,-19.25,0.00774,An_toan_trong_ngan_han
ICE_CREAM_JUICE,23.12,313.2,3.12,0.07382,Hong_Hoan_Toan
ICE_CREAM_JUICE,22.79,153.5,2.79,0.14847,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,5.64,1308.1,-9.36,0.00431,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,3.01,1357.9,-16.99,0.00222,Tai_ket_tinh_Dam_da
FROZEN_FRUITS,2.38,263.6,-15.62,0.00903,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,1.52,344.2,-16.48,0.00442,An_toan_trong_ngan_han
ICE_CREAM_JUICE,12.96,333.1,-7.04,0.03891,Tach_pha_Chay_nuoc
FROZEN_FRUITS,13.12,663.3,-4.88,0.01978,Nhun_nat_Chay_dich
FROZEN_FRUITS,1.28,372.8,-16.72,0.00343,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,2.53,210.7,-15.47,0.01201,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,6.53,2041.7,-8.47,0.0032,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,14.52,1487.9,-3.48,0.00976,Ra_dong_Chay_dich
FROZEN_PHARMA_MATERIALS,15.4,650.8,0.4,0.02366,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,1.54,128.4,-16.46,0.01199,An_toan_trong_ngan_han
ICE_CREAM_JUICE,27.19,135.9,7.19,0.20007,Hong_Hoan_Toan
ICE_CREAM_JUICE,7.56,945.0,-12.44,0.008,Tai_ket_tinh_Dam_da
FROZEN_MEAT_SEAFOOD,12.91,1556.3,-5.09,0.0083,Ra_dong_Chay_dich
FROZEN_MEAT_SEAFOOD,34.09,552.0,16.09,0.06176,Phan_huy_Nhiem_khuan
ICE_CREAM_JUICE,4.21,1415.5,-15.79,0.00297,Tai_ket_tinh_Dam_da
FROZEN_PHARMA_MATERIALS,10.32,1606.0,-4.68,0.00643,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,29.78,130.7,9.78,0.22785,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,7.23,2850.0,-7.77,0.00254,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,1.77,117.3,-18.23,0.01509,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.43,208.7,-12.57,0.01164,An_toan_trong_ngan_han
ICE_CREAM_JUICE,0.46,79.5,-19.54,0.00579,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,24.32,362.6,9.32,0.06707,Hong_Huy_Sinh_Hoc
ICE_CREAM_JUICE,1.15,83.7,-18.85,0.01374,An_toan_trong_ngan_han
ICE_CREAM_JUICE,1.2,35.4,-18.8,0.0339,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,9.01,2156.1,-8.99,0.00418,Tai_ket_tinh_Kho_soi
FROZEN_PHARMA_MATERIALS,1.33,97.5,-13.67,0.01364,An_toan_trong_ngan_han
FROZEN_FRUITS,7.16,4229.9,-10.84,0.00169,Tai_ket_tinh_Giam_do_ngot
FROZEN_MEAT_SEAFOOD,2.4,221.3,-15.6,0.01085,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,13.93,2592.8,-4.07,0.00537,Ra_dong_Chay_dich
FROZEN_PHARMA_MATERIALS,7.01,935.7,-7.99,0.00749,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,0.67,117.9,-19.33,0.00568,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,27.33,210.3,12.33,0.12996,Hong_Huy_Sinh_Hoc
FROZEN_FRUITS,9.99,4427.6,-8.01,0.00226,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,0.68,25.8,-19.32,0.02636,An_toan_trong_ngan_han
FROZEN_FRUITS,1.82,209.6,-16.18,0.00868,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,7.96,1935.9,-10.04,0.00411,Tai_ket_tinh_Kho_soi
ICE_CREAM_JUICE,7.51,1182.0,-12.49,0.00635,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,1.73,80.5,-18.27,0.02149,An_toan_trong_ngan_han
ICE_CREAM_JUICE,0.69,18.8,-19.31,0.0367,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,10.37,873.7,-4.63,0.01187,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,4.86,2029.8,-13.14,0.00239,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,14.57,1052.7,-3.43,0.01384,Nhun_nat_Chay_dich
FROZEN_PHARMA_MATERIALS,11.04,1630.6,-3.96,0.00677,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,33.12,758.5,15.12,0.04367,Phan_huy_Nhiem_khuan
FROZEN_PHARMA_MATERIALS,15.55,1336.1,0.55,0.01164,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,3.95,2124.2,-14.05,0.00186,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,2.81,127.9,-15.19,0.02197,An_toan_trong_ngan_han
ICE_CREAM_JUICE,14.47,308.7,-5.53,0.04687,Tach_pha_Chay_nuoc
FROZEN_FRUITS,9.11,5044.7,-8.89,0.00181,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,6.76,706.6,-13.24,0.00957,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,7.35,822.9,-12.65,0.00893,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,0.98,18.4,-19.02,0.05326,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,15.36,566.0,0.36,0.02714,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,2.24,19.1,-12.76,0.11728,An_toan_trong_ngan_han
FROZEN_FRUITS,34.23,2475.0,16.23,0.01383,Mat_mau_Oxy_hoa
FROZEN_PHARMA_MATERIALS,1.39,199.1,-13.61,0.00698,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,17.79,893.2,2.79,0.01992,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,4.3,1564.7,-13.7,0.00275,Tai_ket_tinh_Kho_soi
ICE_CREAM_JUICE,7.26,800.8,-12.74,0.00907,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,10.81,280.1,-9.19,0.03859,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,16.26,400.4,1.26,0.04061,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,0.88,228.3,-14.12,0.00385,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,1.96,162.3,-13.04,0.01208,An_toan_trong_ngan_han
FROZEN_FRUITS,33.33,1660.2,15.33,0.02008,Mat_mau_Oxy_hoa
FROZEN_MEAT_SEAFOOD,8.48,3973.8,-9.52,0.00213,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,2.55,468.3,-15.45,0.00545,An_toan_trong_ngan_han
ICE_CREAM_JUICE,23.24,135.6,3.24,0.17139,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,1.52,103.5,-13.48,0.01469,An_toan_trong_ngan_han
FROZEN_FRUITS,16.21,937.6,-1.79,0.01729,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,30.28,721.4,12.28,0.04197,Phan_huy_Nhiem_khuan
FROZEN_MEAT_SEAFOOD,12.96,1763.5,-5.04,0.00735,Ra_dong_Chay_dich
FROZEN_PHARMA_MATERIALS,0.94,87.0,-14.06,0.0108,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,18.66,1287.4,3.66,0.01449,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,24.84,608.1,6.84,0.04085,Phan_huy_Nhiem_khuan
FROZEN_FRUITS,0.75,168.7,-17.25,0.00445,An_toan_trong_ngan_han
FROZEN_FRUITS,12.46,534.9,-5.54,0.02329,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,11.67,233.7,-8.33,0.04994,Tach_pha_Chay_nuoc
FROZEN_MEAT_SEAFOOD,5.13,4297.2,-12.87,0.00119,Tai_ket_tinh_Kho_soi
FROZEN_PHARMA_MATERIALS,5.1,1859.6,-9.9,0.00274,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,13.8,619.3,-6.2,0.02228,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,2.45,15.3,-12.55,0.16013,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,6.29,3061.1,-11.71,0.00205,Tai_ket_tinh_Kho_soi
FROZEN_MEAT_SEAFOOD,28.25,1117.6,10.25,0.02528,Phan_huy_Nhiem_khuan
ICE_CREAM_JUICE,10.09,507.6,-9.91,0.01988,Tach_pha_Chay_nuoc
FROZEN_FRUITS,27.89,2272.5,9.89,0.01227,Mat_mau_Oxy_hoa
ICE_CREAM_JUICE,12.18,718.7,-7.82,0.01695,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,1.04,205.1,-13.96,0.00507,An_toan_trong_ngan_han
FROZEN_FRUITS,9.35,4456.6,-8.65,0.0021,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,6.84,1136.7,-13.16,0.00602,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,23.43,220.0,3.43,0.1065,Hong_Hoan_Toan
ICE_CREAM_JUICE,5.37,622.9,-14.63,0.00862,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,13.1,532.2,-6.9,0.02461,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,17.41,741.4,2.41,0.02348,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,6.53,1967.5,-11.47,0.00332,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,16.91,608.4,-1.09,0.02779,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,1.79,80.0,-18.21,0.02238,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,2.27,207.1,-15.73,0.01096,An_toan_trong_ngan_han
FROZEN_FRUITS,6.1,5255.5,-11.9,0.00116,Tai_ket_tinh_Giam_do_ngot
FROZEN_PHARMA_MATERIALS,11.24,1254.0,-3.76,0.00896,Giam_Hoat_Tinh_Nhe
FROZEN_PHARMA_MATERIALS,23.8,156.7,8.8,0.15188,Hong_Huy_Sinh_Hoc
FROZEN_MEAT_SEAFOOD,1.78,218.0,-16.22,0.00817,An_toan_trong_ngan_han
FROZEN_FRUITS,14.82,422.8,-3.18,0.03505,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,16.33,1840.8,-1.67,0.00887,Ra_dong_Chay_dich
FROZEN_PHARMA_MATERIALS,18.29,875.3,3.29,0.0209,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,1.89,108.6,-16.11,0.0174,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,1.8,221.2,-13.2,0.00814,An_toan_trong_ngan_han
FROZEN_FRUITS,17.03,818.2,-0.97,0.02081,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,2.97,322.2,-15.03,0.00922,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.04,203.7,-12.96,0.01001,An_toan_trong_ngan_han
FROZEN_FRUITS,12.64,702.6,-5.36,0.01799,Nhun_nat_Chay_dich
FROZEN_FRUITS,2.58,154.0,-15.42,0.01675,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,6.8,3028.4,-11.2,0.00225,Tai_ket_tinh_Kho_soi
FROZEN_MEAT_SEAFOOD,17.72,1278.0,-0.28,0.01387,Ra_dong_Chay_dich
ICE_CREAM_JUICE,27.31,274.2,7.31,0.0996,Hong_Hoan_Toan
FROZEN_FRUITS,5.57,4228.2,-12.43,0.00132,Tai_ket_tinh_Giam_do_ngot
FROZEN_FRUITS,5.06,5498.5,-12.94,0.00092,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,14.93,515.0,-5.07,0.02899,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,8.27,1764.3,-6.73,0.00469,Giam_Hoat_Tinh_Nhe
FROZEN_FRUITS,1.77,367.0,-16.23,0.00482,An_toan_trong_ngan_han
FROZEN_FRUITS,28.98,1697.8,10.98,0.01707,Mat_mau_Oxy_hoa
FROZEN_FRUITS,2.59,380.2,-15.41,0.00681,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,0.8,353.1,-17.2,0.00227,An_toan_trong_ngan_han
FROZEN_FRUITS,8.07,5764.7,-9.93,0.0014,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,28.1,141.7,8.1,0.19831,Hong_Hoan_Toan
FROZEN_MEAT_SEAFOOD,0.55,355.3,-17.45,0.00155,An_toan_trong_ngan_han
ICE_CREAM_JUICE,12.64,256.0,-7.36,0.04938,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,2.14,236.0,-12.86,0.00907,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,8.46,3186.9,-9.54,0.00265,Tai_ket_tinh_Kho_soi
FROZEN_MEAT_SEAFOOD,31.24,959.8,13.24,0.03255,Phan_huy_Nhiem_khuan
FROZEN_MEAT_SEAFOOD,1.62,76.4,-16.38,0.0212,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,22.17,639.0,7.17,0.03469,Hong_Huy_Sinh_Hoc
FROZEN_PHARMA_MATERIALS,16.0,1207.0,1.0,0.01326,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,1.61,78.1,-13.39,0.02061,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,22.16,644.6,4.16,0.03438,Phan_huy_Nhiem_khuan
FROZEN_MEAT_SEAFOOD,5.29,1747.7,-12.71,0.00303,Tai_ket_tinh_Kho_soi
FROZEN_PHARMA_MATERIALS,34.06,525.1,19.06,0.06486,Hong_Huy_Sinh_Hoc
FROZEN_FRUITS,30.48,728.6,12.48,0.04183,Mat_mau_Oxy_hoa
FROZEN_FRUITS,17.19,1331.0,-0.81,0.01292,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,1.42,89.4,-16.58,0.01588,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,2.44,163.3,-15.56,0.01494,An_toan_trong_ngan_han
ICE_CREAM_JUICE,0.88,105.0,-19.12,0.00838,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,18.31,809.3,3.31,0.02262,Ket_tua_Bien_tinh
ICE_CREAM_JUICE,22.06,184.5,2.06,0.11957,Hong_Hoan_Toan
FROZEN_FRUITS,7.16,3006.2,-10.84,0.00238,Tai_ket_tinh_Giam_do_ngot
FROZEN_PHARMA_MATERIALS,11.05,2521.0,-3.95,0.00438,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,1.91,84.5,-18.09,0.0226,An_toan_trong_ngan_han
FROZEN_FRUITS,5.96,3247.1,-12.04,0.00184,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,11.93,697.5,-8.07,0.0171,Tach_pha_Chay_nuoc
FROZEN_FRUITS,2.43,47.2,-15.57,0.05148,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.37,236.9,-12.63,0.01,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,1.13,203.6,-16.87,0.00555,An_toan_trong_ngan_han
FROZEN_FRUITS,25.22,2732.4,7.22,0.00923,Mat_mau_Oxy_hoa
FROZEN_MEAT_SEAFOOD,24.94,1049.9,6.94,0.02375,Phan_huy_Nhiem_khuan
FROZEN_MEAT_SEAFOOD,8.78,3291.2,-9.22,0.00267,Tai_ket_tinh_Kho_soi
FROZEN_PHARMA_MATERIALS,11.21,1983.1,-3.79,0.00565,Giam_Hoat_Tinh_Nhe
ICE_CREAM_JUICE,0.63,133.1,-19.37,0.00473,An_toan_trong_ngan_han
ICE_CREAM_JUICE,12.46,384.6,-7.54,0.0324,Tach_pha_Chay_nuoc
ICE_CREAM_JUICE,1.56,82.2,-18.44,0.01898,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.08,182.2,-12.92,0.01142,An_toan_trong_ngan_han
ICE_CREAM_JUICE,27.63,234.5,7.63,0.11783,Hong_Hoan_Toan
FROZEN_MEAT_SEAFOOD,12.65,1653.8,-5.35,0.00765,Ra_dong_Chay_dich
ICE_CREAM_JUICE,7.49,859.3,-12.51,0.00872,Tai_ket_tinh_Dam_da
FROZEN_MEAT_SEAFOOD,8.05,3087.7,-9.95,0.00261,Tai_ket_tinh_Kho_soi
ICE_CREAM_JUICE,12.9,579.4,-7.1,0.02226,Tach_pha_Chay_nuoc
FROZEN_FRUITS,2.62,299.8,-15.38,0.00874,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,15.29,830.3,0.29,0.01842,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,0.79,165.2,-17.21,0.00478,An_toan_trong_ngan_han
ICE_CREAM_JUICE,12.73,487.1,-7.27,0.02613,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,16.54,1415.6,1.54,0.01168,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,1.13,229.0,-16.87,0.00493,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.09,13.2,-12.91,0.15833,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,2.95,267.6,-15.05,0.01102,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,9.58,2784.0,-5.42,0.00344,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,0.71,24.4,-17.29,0.0291,An_toan_trong_ngan_han
ICE_CREAM_JUICE,5.14,1370.9,-14.86,0.00375,Tai_ket_tinh_Dam_da
FROZEN_PHARMA_MATERIALS,1.68,70.5,-13.32,0.02383,An_toan_trong_ngan_han
FROZEN_FRUITS,25.92,1614.3,7.92,0.01606,Mat_mau_Oxy_hoa
FROZEN_PHARMA_MATERIALS,22.42,301.6,7.42,0.07434,Hong_Huy_Sinh_Hoc
FROZEN_FRUITS,2.75,382.0,-15.25,0.0072,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,2.28,127.7,-12.72,0.01785,An_toan_trong_ngan_han
FROZEN_FRUITS,16.77,1244.6,-1.23,0.01347,Nhun_nat_Chay_dich
FROZEN_FRUITS,16.3,1411.2,-1.7,0.01155,Nhun_nat_Chay_dich
FROZEN_PHARMA_MATERIALS,1.88,82.2,-13.12,0.02287,An_toan_trong_ngan_han
ICE_CREAM_JUICE,0.86,113.3,-19.14,0.00759,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,1.14,124.4,-13.86,0.00916,An_toan_trong_ngan_han
FROZEN_FRUITS,18.08,970.1,0.08,0.01864,Nhun_nat_Chay_dich
FROZEN_PHARMA_MATERIALS,8.98,1354.4,-6.02,0.00663,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,7.14,1874.3,-10.86,0.00381,Tai_ket_tinh_Kho_soi
FROZEN_PHARMA_MATERIALS,16.55,1151.4,1.55,0.01437,Ket_tua_Bien_tinh
ICE_CREAM_JUICE,11.13,600.8,-8.87,0.01853,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,0.91,45.0,-14.09,0.02022,An_toan_trong_ngan_han
FROZEN_FRUITS,27.51,2682.1,9.51,0.01026,Mat_mau_Oxy_hoa
ICE_CREAM_JUICE,7.14,1278.8,-12.86,0.00558,Tai_ket_tinh_Dam_da
FROZEN_FRUITS,0.74,397.7,-17.26,0.00186,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,4.6,4237.1,-13.4,0.00109,Tai_ket_tinh_Kho_soi
FROZEN_MEAT_SEAFOOD,1.27,289.9,-16.73,0.00438,An_toan_trong_ngan_han
FROZEN_FRUITS,7.41,3682.8,-10.59,0.00201,Tai_ket_tinh_Giam_do_ngot
FROZEN_FRUITS,14.84,1259.6,-3.16,0.01178,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,18.65,325.8,-1.35,0.05724,Hong_Hoan_Toan
FROZEN_FRUITS,2.21,249.8,-15.79,0.00885,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,4.49,3517.6,-13.51,0.00128,Tai_ket_tinh_Kho_soi
ICE_CREAM_JUICE,1.99,74.5,-18.01,0.02671,An_toan_trong_ngan_han
FROZEN_FRUITS,17.03,1098.4,-0.97,0.0155,Nhun_nat_Chay_dich
FROZEN_PHARMA_MATERIALS,18.6,1182.0,3.6,0.01574,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,2.13,96.1,-12.87,0.02216,An_toan_trong_ngan_han
ICE_CREAM_JUICE,3.19,407.3,-16.81,0.00783,Tai_ket_tinh_Dam_da
FROZEN_MEAT_SEAFOOD,2.67,47.7,-15.33,0.05597,An_toan_trong_ngan_han
ICE_CREAM_JUICE,19.09,331.8,-0.91,0.05753,Hong_Hoan_Toan
FROZEN_MEAT_SEAFOOD,16.19,2461.2,-1.81,0.00658,Ra_dong_Chay_dich
FROZEN_MEAT_SEAFOOD,13.11,1180.5,-4.89,0.01111,Ra_dong_Chay_dich
FROZEN_FRUITS,12.15,451.1,-5.85,0.02693,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,1.92,48.5,-18.08,0.03959,An_toan_trong_ngan_han
ICE_CREAM_JUICE,1.51,124.6,-18.49,0.01212,An_toan_trong_ngan_han
ICE_CREAM_JUICE,28.91,225.5,8.91,0.1282,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,1.72,36.0,-13.28,0.04778,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,2.18,128.8,-15.82,0.01693,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,30.35,647.0,15.35,0.04691,Hong_Huy_Sinh_Hoc
FROZEN_FRUITS,18.05,1175.9,0.05,0.01535,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,22.38,198.0,2.38,0.11303,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,1.9,126.6,-13.1,0.01501,An_toan_trong_ngan_han
ICE_CREAM_JUICE,12.8,653.9,-7.2,0.01957,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,22.31,444.1,7.31,0.05024,Hong_Huy_Sinh_Hoc
ICE_CREAM_JUICE,14.95,268.0,-5.05,0.05578,Tach_pha_Chay_nuoc
ICE_CREAM_JUICE,7.53,937.5,-12.47,0.00803,Tai_ket_tinh_Dam_da
ICE_CREAM_JUICE,25.38,292.5,5.38,0.08677,Hong_Hoan_Toan
FROZEN_FRUITS,22.05,2401.4,4.05,0.00918,Mat_mau_Oxy_hoa
FROZEN_PHARMA_MATERIALS,16.18,661.8,1.18,0.02445,Ket_tua_Bien_tinh
FROZEN_MEAT_SEAFOOD,34.07,1056.9,16.07,0.03224,Phan_huy_Nhiem_khuan
FROZEN_MEAT_SEAFOOD,8.24,1727.2,-9.76,0.00477,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,8.71,5161.9,-9.29,0.00169,Tai_ket_tinh_Giam_do_ngot
FROZEN_PHARMA_MATERIALS,1.53,223.0,-13.47,0.00686,An_toan_trong_ngan_han
ICE_CREAM_JUICE,24.09,252.3,4.09,0.09548,Hong_Hoan_Toan
ICE_CREAM_JUICE,3.81,1331.3,-16.19,0.00286,Tai_ket_tinh_Dam_da
FROZEN_MEAT_SEAFOOD,14.24,1944.8,-3.76,0.00732,Ra_dong_Chay_dich
ICE_CREAM_JUICE,14.62,485.2,-5.38,0.03013,Tach_pha_Chay_nuoc
FROZEN_PHARMA_MATERIALS,16.27,633.7,1.27,0.02567,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,18.9,1253.6,3.9,0.01508,Ket_tua_Bien_tinh
FROZEN_PHARMA_MATERIALS,5.63,1555.9,-9.37,0.00362,Giam_Hoat_Tinh_Nhe
FROZEN_MEAT_SEAFOOD,7.73,2596.0,-10.27,0.00298,Tai_ket_tinh_Kho_soi
FROZEN_FRUITS,8.58,1910.6,-9.42,0.00449,Tai_ket_tinh_Giam_do_ngot
FROZEN_PHARMA_MATERIALS,0.77,103.4,-14.23,0.00745,An_toan_trong_ngan_han
FROZEN_MEAT_SEAFOOD,14.94,1755.3,-3.06,0.00851,Ra_dong_Chay_dich
FROZEN_FRUITS,20.3,1673.6,2.3,0.01213,Mat_mau_Oxy_hoa
